
{'Accuracy': 0.5985714197158813, 'F1_Score': 0.29866889119148254, 'Recall': 0.5128571391105652, 'Precision': 0.21068075299263, 'AUC': 0.5843567848205566}
{'Accuracy': 0.5523809790611267, 'F1_Score': 0.30215293169021606, 'Recall': 0.581428587436676, 'Precision': 0.20411233603954315, 'AUC': 0.5893977284431458}
{'Accuracy': 0.5314285755157471, 'F1_Score': 0.2931034564971924, 'Recall': 0.5828571319580078, 'Precision': 0.19577735662460327, 'AUC': 0.5741367340087891}
{'Accuracy': 0.528333306312561, 'F1_Score': 0.2977667450904846, 'Recall': 0.6000000238418579, 'Precision': 0.19801980257034302, 'AUC': 0.5887410640716553}
{'Accuracy': 0.5259523987770081, 'F1_Score': 0.29472193121910095, 'Recall': 0.5942857265472412, 'Precision': 0.19594912230968475, 'AUC': 0.5757895708084106}
{'Accuracy': 0.5659523606300354, 'F1_Score': 0.2953227758407593, 'Recall': 0.545714259147644, 'Precision': 0.20243772864341736, 'AUC': 0.5850871801376343}
{'Accuracy': 0.5590476393699646, 'F1_Score': 0.2925897538661957, 'Recall': 0.5471428632736206, 'Precision': 0.1996871680021286, 'AUC': 0.5789808034896851}
{'Accuracy': 0.5683333277702332, 'F1_Score': 0.2991882562637329, 'Recall': 0.5528571605682373, 'Precision': 0.20508743822574615, 'AUC': 0.5823720693588257}
{'Accuracy': 0.5226190686225891, 'F1_Score': 0.289259135723114, 'Recall': 0.5828571319580078, 'Precision': 0.19236209988594055, 'AUC': 0.5718230605125427}
{'Accuracy': 0.5323809385299683, 'F1_Score': 0.2985714375972748, 'Recall': 0.5971428751945496, 'Precision': 0.19904762506484985, 'AUC': 0.5854971408843994}
{'Accuracy': 0.5278571248054504, 'F1_Score': 0.29355183243751526, 'Recall': 0.5885714292526245, 'Precision': 0.1955386847257614, 'AUC': 0.5831388235092163}
{'Accuracy': 0.57833331823349, 'F1_Score': 0.29301396012306213, 'Recall': 0.5242857336997986, 'Precision': 0.203324094414711, 'AUC': 0.5899896025657654}
{'Accuracy': 0.5569047331809998, 'F1_Score': 0.29212629795074463, 'Recall': 0.5485714077949524, 'Precision': 0.1990668773651123, 'AUC': 0.579062819480896}
{'Accuracy': 0.5976190567016602, 'F1_Score': 0.3282988965511322, 'Recall': 0.5899999737739563, 'Precision': 0.22742290794849396, 'AUC': 0.6278987526893616}
{'Accuracy': 0.5930952429771423, 'F1_Score': 0.3215561807155609, 'Recall': 0.5785714387893677, 'Precision': 0.22264981269836426, 'AUC': 0.6175041198730469}
{'Accuracy': 0.5604761838912964, 'F1_Score': 0.32725948095321655, 'Recall': 0.6414285898208618, 'Precision': 0.21966731548309326, 'AUC': 0.6256183385848999}
{'Accuracy': 0.5840476155281067, 'F1_Score': 0.3226056694984436, 'Recall': 0.5942857265472412, 'Precision': 0.2213943600654602, 'AUC': 0.6250375509262085}
{'Accuracy': 0.575952410697937, 'F1_Score': 0.3210064768791199, 'Recall': 0.6014285683631897, 'Precision': 0.2189287543296814, 'AUC': 0.6238055229187012}
{'Accuracy': 0.5985714197158813, 'F1_Score': 0.323434978723526, 'Recall': 0.5757142901420593, 'Precision': 0.2248883992433548, 'AUC': 0.625092625617981}
{'Accuracy': 0.590238094329834, 'F1_Score': 0.32641878724098206, 'Recall': 0.595714271068573, 'Precision': 0.22479784488677979, 'AUC': 0.632489800453186}
{'Accuracy': 0.5890476107597351, 'F1_Score': 0.32419735193252563, 'Recall': 0.5914285778999329, 'Precision': 0.223300963640213, 'AUC': 0.6241706013679504}
{'Accuracy': 0.5840476155281067, 'F1_Score': 0.32522210478782654, 'Recall': 0.6014285683631897, 'Precision': 0.22286924719810486, 'AUC': 0.6315011978149414}
{'Accuracy': 0.5961904525756836, 'F1_Score': 0.3243027925491333, 'Recall': 0.581428587436676, 'Precision': 0.22486187517642975, 'AUC': 0.630516767501831}
{'Accuracy': 0.5607143044471741, 'F1_Score': 0.32491767406463623, 'Recall': 0.6342856884002686, 'Precision': 0.21839645504951477, 'AUC': 0.6217865347862244}
{'Accuracy': 0.5811904668807983, 'F1_Score': 0.3195357918739319, 'Recall': 0.5899999737739563, 'Precision': 0.21909813582897186, 'AUC': 0.6291452646255493}
