
{'Accuracy': 0.6485714316368103, 'F1_Score': 0.197826087474823, 'Recall': 0.25999999046325684, 'Precision': 0.15964911878108978, 'AUC': 0.4821873605251312}
{'Accuracy': 0.6100000143051147, 'F1_Score': 0.20639534294605255, 'Recall': 0.3042857050895691, 'Precision': 0.15615835785865784, 'AUC': 0.48003530502319336}
{'Accuracy': 0.6285714507102966, 'F1_Score': 0.20892494916915894, 'Recall': 0.29428571462631226, 'Precision': 0.16194967925548553, 'AUC': 0.49478858709335327}
{'Accuracy': 0.6340476274490356, 'F1_Score': 0.22491174936294556, 'Recall': 0.31857141852378845, 'Precision': 0.17381137609481812, 'AUC': 0.49467429518699646}
{'Accuracy': 0.6111904978752136, 'F1_Score': 0.22349025309085846, 'Recall': 0.33571428060531616, 'Precision': 0.16749821603298187, 'AUC': 0.4931183457374573}
{'Accuracy': 0.6364285945892334, 'F1_Score': 0.21571648120880127, 'Recall': 0.30000001192092896, 'Precision': 0.16840417683124542, 'AUC': 0.4930989742279053}
{'Accuracy': 0.6809523701667786, 'F1_Score': 0.1878787875175476, 'Recall': 0.22142857313156128, 'Precision': 0.1631578952074051, 'AUC': 0.48828285932540894}
{'Accuracy': 0.6547619104385376, 'F1_Score': 0.19265033304691315, 'Recall': 0.24714285135269165, 'Precision': 0.15784671902656555, 'AUC': 0.4803830683231354}
{'Accuracy': 0.6395238041877747, 'F1_Score': 0.20981210470199585, 'Recall': 0.2871428430080414, 'Precision': 0.1652960479259491, 'AUC': 0.498396098613739}
{'Accuracy': 0.6916666626930237, 'F1_Score': 0.1891045719385147, 'Recall': 0.21571429073810577, 'Precision': 0.16833890974521637, 'AUC': 0.49191877245903015}
{'Accuracy': 0.6378571391105652, 'F1_Score': 0.19052687287330627, 'Recall': 0.2557142972946167, 'Precision': 0.15182358026504517, 'AUC': 0.48638224601745605}
{'Accuracy': 0.6554762125015259, 'F1_Score': 0.20099392533302307, 'Recall': 0.25999999046325684, 'Precision': 0.16381637752056122, 'AUC': 0.49232834577560425}
{'Accuracy': 0.6302381157875061, 'F1_Score': 0.20399795472621918, 'Recall': 0.2842857241630554, 'Precision': 0.15907274186611176, 'AUC': 0.48889878392219543}
{'Accuracy': 0.6942856907844543, 'F1_Score': 0.30669546127319336, 'Recall': 0.4057142734527588, 'Precision': 0.2465277761220932, 'AUC': 0.6096775531768799}
{'Accuracy': 0.6809523701667786, 'F1_Score': 0.30785122513771057, 'Recall': 0.42571428418159485, 'Precision': 0.24110032618045807, 'AUC': 0.6123955249786377}
{'Accuracy': 0.6761904954910278, 'F1_Score': 0.3068297803401947, 'Recall': 0.4300000071525574, 'Precision': 0.23851029574871063, 'AUC': 0.6077538728713989}
{'Accuracy': 0.6514285802841187, 'F1_Score': 0.30352047085762024, 'Recall': 0.45571428537368774, 'Precision': 0.22753210365772247, 'AUC': 0.5973448753356934}
{'Accuracy': 0.6769047379493713, 'F1_Score': 0.3001547157764435, 'Recall': 0.415714293718338, 'Precision': 0.23486682772636414, 'AUC': 0.6043981909751892}
{'Accuracy': 0.6190476417541504, 'F1_Score': 0.3127147853374481, 'Recall': 0.5199999809265137, 'Precision': 0.22358722984790802, 'AUC': 0.6085810661315918}
{'Accuracy': 0.5842857360839844, 'F1_Score': 0.30659252405166626, 'Recall': 0.5514285564422607, 'Precision': 0.2123212367296219, 'AUC': 0.6012418270111084}
{'Accuracy': 0.6564285755157471, 'F1_Score': 0.3138373792171478, 'Recall': 0.4714285731315613, 'Precision': 0.23521026968955994, 'AUC': 0.6074424982070923}
{'Accuracy': 0.6559523940086365, 'F1_Score': 0.2920137047767639, 'Recall': 0.42571428418159485, 'Precision': 0.2222222238779068, 'AUC': 0.6074461340904236}
{'Accuracy': 0.6378571391105652, 'F1_Score': 0.30579644441604614, 'Recall': 0.47857141494750977, 'Precision': 0.22468142211437225, 'AUC': 0.6065253019332886}
{'Accuracy': 0.6145238280296326, 'F1_Score': 0.30663812160491943, 'Recall': 0.5114285945892334, 'Precision': 0.218960240483284, 'AUC': 0.6096889972686768}
{'Accuracy': 0.621666669845581, 'F1_Score': 0.30520331859588623, 'Recall': 0.4985714256763458, 'Precision': 0.21991178393363953, 'AUC': 0.61379474401474}
{'Accuracy': 0.7090476155281067, 'F1_Score': 0.30725622177124023, 'Recall': 0.3871428668498993, 'Precision': 0.2546992599964142, 'AUC': 0.6088953018188477}
{'Accuracy': 0.6297619342803955, 'F1_Score': 0.3061133325099945, 'Recall': 0.49000000953674316, 'Precision': 0.22258274257183075, 'AUC': 0.6016713976860046}
{'Accuracy': 0.670714259147644, 'F1_Score': 0.2997468411922455, 'Recall': 0.4228571355342865, 'Precision': 0.23215685784816742, 'AUC': 0.6065104007720947}
{'Accuracy': 0.6957142949104309, 'F1_Score': 0.30993521213531494, 'Recall': 0.4099999964237213, 'Precision': 0.2491319477558136, 'AUC': 0.6151705980300903}
{'Accuracy': 0.6733333468437195, 'F1_Score': 0.3180914521217346, 'Recall': 0.4571428596973419, 'Precision': 0.24390244483947754, 'AUC': 0.6162971258163452}
{'Accuracy': 0.6176190376281738, 'F1_Score': 0.32121723890304565, 'Recall': 0.5428571701049805, 'Precision': 0.22809123992919922, 'AUC': 0.617161214351654}
{'Accuracy': 0.654285728931427, 'F1_Score': 0.30192306637763977, 'Recall': 0.44857141375541687, 'Precision': 0.22753623127937317, 'AUC': 0.5994788408279419}
{'Accuracy': 0.6119047403335571, 'F1_Score': 0.29922613501548767, 'Recall': 0.49714285135269165, 'Precision': 0.21402214467525482, 'AUC': 0.6070500016212463}
{'Accuracy': 0.6752380728721619, 'F1_Score': 0.31180626153945923, 'Recall': 0.4414285719394684, 'Precision': 0.24102963507175446, 'AUC': 0.6109248995780945}
{'Accuracy': 0.6526190638542175, 'F1_Score': 0.31341177225112915, 'Recall': 0.4757142961025238, 'Precision': 0.2336842119693756, 'AUC': 0.6030030250549316}
{'Accuracy': 0.6897618770599365, 'F1_Score': 0.30801913142204285, 'Recall': 0.41428571939468384, 'Precision': 0.245139479637146, 'AUC': 0.6087767481803894}
{'Accuracy': 0.6857143044471741, 'F1_Score': 0.3067227005958557, 'Recall': 0.4171428680419922, 'Precision': 0.2425249218940735, 'AUC': 0.6102389693260193}
{'Accuracy': 0.6388095021247864, 'F1_Score': 0.30888381600379944, 'Recall': 0.48428571224212646, 'Precision': 0.22675585746765137, 'AUC': 0.6067938804626465}
{'Accuracy': 0.6345238089561462, 'F1_Score': 0.298766553401947, 'Recall': 0.46714285016059875, 'Precision': 0.21961048245429993, 'AUC': 0.6119451522827148}
{'Accuracy': 0.6602380871772766, 'F1_Score': 0.31096088886260986, 'Recall': 0.46000000834465027, 'Precision': 0.23486506938934326, 'AUC': 0.6079399585723877}
