
{'Accuracy': 0.6995238065719604, 'F1_Score': 0.38974854350090027, 'Recall': 0.5757142901420593, 'Precision': 0.29459065198898315, 'AUC': 0.7091608047485352}
{'Accuracy': 0.7040476202964783, 'F1_Score': 0.3891891837120056, 'Recall': 0.5657142996788025, 'Precision': 0.2966292202472687, 'AUC': 0.7094987630844116}
{'Accuracy': 0.6935714483261108, 'F1_Score': 0.37916064262390137, 'Recall': 0.5614285469055176, 'Precision': 0.2862345278263092, 'AUC': 0.705953061580658}
{'Accuracy': 0.6833333373069763, 'F1_Score': 0.37792328000068665, 'Recall': 0.5771428346633911, 'Precision': 0.280945748090744, 'AUC': 0.7050008177757263}
{'Accuracy': 0.7016666531562805, 'F1_Score': 0.3943934142589569, 'Recall': 0.5828571319580078, 'Precision': 0.29802775382995605, 'AUC': 0.7142775654792786}
{'Accuracy': 0.7061904668807983, 'F1_Score': 0.3915187418460846, 'Recall': 0.5671428442001343, 'Precision': 0.2989457845687866, 'AUC': 0.7120143175125122}
{'Accuracy': 0.688095211982727, 'F1_Score': 0.38323917984962463, 'Recall': 0.581428587436676, 'Precision': 0.2858146131038666, 'AUC': 0.7076603770256042}
{'Accuracy': 0.6988095045089722, 'F1_Score': 0.3850267231464386, 'Recall': 0.5657142996788025, 'Precision': 0.2918201982975006, 'AUC': 0.7083922624588013}
{'Accuracy': 0.6821428537368774, 'F1_Score': 0.3856419622898102, 'Recall': 0.5985714197158813, 'Precision': 0.28445348143577576, 'AUC': 0.7060855627059937}
{'Accuracy': 0.6938095092773438, 'F1_Score': 0.3823246955871582, 'Recall': 0.5685714483261108, 'Precision': 0.28798842430114746, 'AUC': 0.7086330652236938}
{'Accuracy': 0.704285740852356, 'F1_Score': 0.3827037811279297, 'Recall': 0.550000011920929, 'Precision': 0.2934451103210449, 'AUC': 0.7067698240280151}
{'Accuracy': 0.6964285969734192, 'F1_Score': 0.3813682794570923, 'Recall': 0.5614285469055176, 'Precision': 0.2887582778930664, 'AUC': 0.7091281414031982}
{'Accuracy': 0.6921428442001343, 'F1_Score': 0.37686747312545776, 'Recall': 0.558571457862854, 'Precision': 0.28436362743377686, 'AUC': 0.7059012651443481}
{'Accuracy': 0.6616666913032532, 'F1_Score': 0.372626930475235, 'Recall': 0.6028571724891663, 'Precision': 0.26964855194091797, 'AUC': 0.6928220391273499}
{'Accuracy': 0.6571428775787354, 'F1_Score': 0.3667546212673187, 'Recall': 0.595714271068573, 'Precision': 0.2649301290512085, 'AUC': 0.6858245134353638}
{'Accuracy': 0.6595237851142883, 'F1_Score': 0.37445318698883057, 'Recall': 0.6114285588264465, 'Precision': 0.26986128091812134, 'AUC': 0.6951689720153809}
{'Accuracy': 0.6678571701049805, 'F1_Score': 0.37972432374954224, 'Recall': 0.6100000143051147, 'Precision': 0.2756617069244385, 'AUC': 0.6914219856262207}
{'Accuracy': 0.6623809337615967, 'F1_Score': 0.37312114238739014, 'Recall': 0.6028571724891663, 'Precision': 0.27016645669937134, 'AUC': 0.6921997666358948}
{'Accuracy': 0.6645237803459167, 'F1_Score': 0.37682440876960754, 'Recall': 0.6085714101791382, 'Precision': 0.2729019820690155, 'AUC': 0.6873359084129333}
{'Accuracy': 0.6711905002593994, 'F1_Score': 0.3702690303325653, 'Recall': 0.5799999833106995, 'Precision': 0.27193570137023926, 'AUC': 0.6907534599304199}
{'Accuracy': 0.668571412563324, 'F1_Score': 0.371841162443161, 'Recall': 0.5885714292526245, 'Precision': 0.27176782488822937, 'AUC': 0.6895208358764648}
{'Accuracy': 0.6702380776405334, 'F1_Score': 0.3841707408428192, 'Recall': 0.6171428561210632, 'Precision': 0.27888959646224976, 'AUC': 0.695873498916626}
{'Accuracy': 0.6669047474861145, 'F1_Score': 0.37067025899887085, 'Recall': 0.5885714292526245, 'Precision': 0.2705187201499939, 'AUC': 0.691962480545044}
{'Accuracy': 0.6633333563804626, 'F1_Score': 0.3748894929885864, 'Recall': 0.6057142615318298, 'Precision': 0.2714468538761139, 'AUC': 0.6898751258850098}
{'Accuracy': 0.6600000262260437, 'F1_Score': 0.3731343150138855, 'Recall': 0.6071428656578064, 'Precision': 0.2693282663822174, 'AUC': 0.6894658803939819}
{'Accuracy': 0.6650000214576721, 'F1_Score': 0.37103262543678284, 'Recall': 0.5928571224212646, 'Precision': 0.2700065076351166, 'AUC': 0.6877717971801758}
{'Accuracy': 0.6647619009017944, 'F1_Score': 0.3753327429294586, 'Recall': 0.604285717010498, 'Precision': 0.2722007632255554, 'AUC': 0.6909812092781067}
{'Accuracy': 0.6650000214576721, 'F1_Score': 0.37825894355773926, 'Recall': 0.6114285588264465, 'Precision': 0.27383238077163696, 'AUC': 0.6912612318992615}
{'Accuracy': 0.6676190495491028, 'F1_Score': 0.37789660692214966, 'Recall': 0.6057142615318298, 'Precision': 0.2746114134788513, 'AUC': 0.6901134848594666}
{'Accuracy': 0.6585714221000671, 'F1_Score': 0.3716038465499878, 'Recall': 0.6057142615318298, 'Precision': 0.26801517605781555, 'AUC': 0.6909860968589783}
{'Accuracy': 0.6673809289932251, 'F1_Score': 0.37326154112815857, 'Recall': 0.5942857265472412, 'Precision': 0.27207323908805847, 'AUC': 0.6857930421829224}
{'Accuracy': 0.659761905670166, 'F1_Score': 0.3751639723777771, 'Recall': 0.6128571629524231, 'Precision': 0.2703213691711426, 'AUC': 0.6892224550247192}
{'Accuracy': 0.6645237803459167, 'F1_Score': 0.3695749342441559, 'Recall': 0.5899999737739563, 'Precision': 0.2690553665161133, 'AUC': 0.691952645778656}
{'Accuracy': 0.6602380871772766, 'F1_Score': 0.3743971884250641, 'Recall': 0.6100000143051147, 'Precision': 0.2700822353363037, 'AUC': 0.6901877522468567}
{'Accuracy': 0.6692857146263123, 'F1_Score': 0.3762909770011902, 'Recall': 0.5985714197158813, 'Precision': 0.2743942439556122, 'AUC': 0.6899873614311218}
{'Accuracy': 0.6623809337615967, 'F1_Score': 0.3769771456718445, 'Recall': 0.6128571629524231, 'Precision': 0.2722081243991852, 'AUC': 0.6896452903747559}
{'Accuracy': 0.6549999713897705, 'F1_Score': 0.3746223449707031, 'Recall': 0.6200000047683716, 'Precision': 0.268398255109787, 'AUC': 0.6922432780265808}
{'Accuracy': 0.6702380776405334, 'F1_Score': 0.37358662486076355, 'Recall': 0.5899999737739563, 'Precision': 0.2733289301395416, 'AUC': 0.6875279545783997}
{'Accuracy': 0.6659523844718933, 'F1_Score': 0.37837839126586914, 'Recall': 0.6100000143051147, 'Precision': 0.27424535155296326, 'AUC': 0.6906183362007141}
{'Accuracy': 0.6640475988388062, 'F1_Score': 0.373167484998703, 'Recall': 0.6000000238418579, 'Precision': 0.27079305052757263, 'AUC': 0.686026930809021}
{'Accuracy': 0.665238082408905, 'F1_Score': 0.37511110305786133, 'Recall': 0.6028571724891663, 'Precision': 0.27225807309150696, 'AUC': 0.6906898021697998}
