
{'Accuracy': 0.5321428775787354, 'F1_Score': 0.24914023280143738, 'Recall': 0.4657142758369446, 'Precision': 0.17005738615989685, 'AUC': 0.5081610083580017}
{'Accuracy': 0.5302380919456482, 'F1_Score': 0.2534998059272766, 'Recall': 0.47857141494750977, 'Precision': 0.17241379618644714, 'AUC': 0.5069534778594971}
{'Accuracy': 0.5438095331192017, 'F1_Score': 0.24980422854423523, 'Recall': 0.45571428537368774, 'Precision': 0.17206041514873505, 'AUC': 0.5097575187683105}
{'Accuracy': 0.5714285969734192, 'F1_Score': 0.24812030792236328, 'Recall': 0.4242857098579407, 'Precision': 0.1753246784210205, 'AUC': 0.5035765171051025}
{'Accuracy': 0.5359523892402649, 'F1_Score': 0.25695767998695374, 'Recall': 0.4814285635948181, 'Precision': 0.17524701356887817, 'AUC': 0.5096693634986877}
{'Accuracy': 0.5545238256454468, 'F1_Score': 0.24708250164985657, 'Recall': 0.43857142329216003, 'Precision': 0.17198880016803741, 'AUC': 0.5065057277679443}
{'Accuracy': 0.5542857050895691, 'F1_Score': 0.24333064258098602, 'Recall': 0.4300000071525574, 'Precision': 0.16967305541038513, 'AUC': 0.5038538575172424}
{'Accuracy': 0.476666659116745, 'F1_Score': 0.2518720328807831, 'Recall': 0.5285714268684387, 'Precision': 0.16532617807388306, 'AUC': 0.5010640621185303}
{'Accuracy': 0.5138095021247864, 'F1_Score': 0.2514662742614746, 'Recall': 0.49000000953674316, 'Precision': 0.16913214325904846, 'AUC': 0.5030410289764404}
{'Accuracy': 0.5426190495491028, 'F1_Score': 0.24872897565364838, 'Recall': 0.45428571105003357, 'Precision': 0.17124393582344055, 'AUC': 0.5097166895866394}
{'Accuracy': 0.5680952668190002, 'F1_Score': 0.23717409372329712, 'Recall': 0.4028571546077728, 'Precision': 0.16805721819400787, 'AUC': 0.509270429611206}
{'Accuracy': 0.5361904501914978, 'F1_Score': 0.23367427289485931, 'Recall': 0.4242857098579407, 'Precision': 0.16123779118061066, 'AUC': 0.4942012131214142}
{'Accuracy': 0.5859524011611938, 'F1_Score': 0.2322295755147934, 'Recall': 0.3757142722606659, 'Precision': 0.1680511236190796, 'AUC': 0.5095434188842773}
{'Accuracy': 0.5769047737121582, 'F1_Score': 0.3001181483268738, 'Recall': 0.5442857146263123, 'Precision': 0.20717781782150269, 'AUC': 0.5934679508209229}
{'Accuracy': 0.5533333420753479, 'F1_Score': 0.30052199959754944, 'Recall': 0.5757142901420593, 'Precision': 0.20332996547222137, 'AUC': 0.5955769419670105}
{'Accuracy': 0.6116666793823242, 'F1_Score': 0.29607251286506653, 'Recall': 0.49000000953674316, 'Precision': 0.21212121844291687, 'AUC': 0.5993391871452332}
{'Accuracy': 0.6366666555404663, 'F1_Score': 0.29871323704719543, 'Recall': 0.4642857015132904, 'Precision': 0.22018970549106598, 'AUC': 0.5940412282943726}
{'Accuracy': 0.635952353477478, 'F1_Score': 0.30150753259658813, 'Recall': 0.4714285731315613, 'Precision': 0.22162525355815887, 'AUC': 0.6073479652404785}
{'Accuracy': 0.5840476155281067, 'F1_Score': 0.30702102184295654, 'Recall': 0.5528571605682373, 'Precision': 0.21252059936523438, 'AUC': 0.6002753376960754}
{'Accuracy': 0.5776190757751465, 'F1_Score': 0.3021243214607239, 'Recall': 0.5485714077949524, 'Precision': 0.20846904814243317, 'AUC': 0.6013424396514893}
{'Accuracy': 0.6330952644348145, 'F1_Score': 0.30679261684417725, 'Recall': 0.4871428608894348, 'Precision': 0.2239001989364624, 'AUC': 0.6058616638183594}
{'Accuracy': 0.6307142972946167, 'F1_Score': 0.30354738235473633, 'Recall': 0.4828571379184723, 'Precision': 0.22134904563426971, 'AUC': 0.5967718362808228}
{'Accuracy': 0.5969047546386719, 'F1_Score': 0.3165118992328644, 'Recall': 0.5600000023841858, 'Precision': 0.22059650719165802, 'AUC': 0.6006453037261963}
{'Accuracy': 0.6119047403335571, 'F1_Score': 0.3063829839229584, 'Recall': 0.5142857432365417, 'Precision': 0.2181818187236786, 'AUC': 0.600257933139801}
{'Accuracy': 0.6040475964546204, 'F1_Score': 0.30214014649391174, 'Recall': 0.5142857432365417, 'Precision': 0.2139037400484085, 'AUC': 0.5960503816604614}
{'Accuracy': 0.6059523820877075, 'F1_Score': 0.31639817357063293, 'Recall': 0.5471428632736206, 'Precision': 0.22254502773284912, 'AUC': 0.6131632328033447}
{'Accuracy': 0.6107142567634583, 'F1_Score': 0.30573248863220215, 'Recall': 0.5142857432365417, 'Precision': 0.21752266585826874, 'AUC': 0.609351396560669}
{'Accuracy': 0.6397619247436523, 'F1_Score': 0.30628153681755066, 'Recall': 0.477142870426178, 'Precision': 0.22552329301834106, 'AUC': 0.6067800521850586}
{'Accuracy': 0.6297619342803955, 'F1_Score': 0.29923388361930847, 'Recall': 0.47428572177886963, 'Precision': 0.21856483817100525, 'AUC': 0.5992230176925659}
{'Accuracy': 0.6073809266090393, 'F1_Score': 0.3068516254425049, 'Recall': 0.5214285850524902, 'Precision': 0.21739129722118378, 'AUC': 0.597057580947876}
{'Accuracy': 0.5611904859542847, 'F1_Score': 0.3094792068004608, 'Recall': 0.5899999737739563, 'Precision': 0.20975114405155182, 'AUC': 0.598945677280426}
{'Accuracy': 0.5707142949104309, 'F1_Score': 0.30520230531692505, 'Recall': 0.5657142996788025, 'Precision': 0.20897097885608673, 'AUC': 0.5991618633270264}
{'Accuracy': 0.5969047546386719, 'F1_Score': 0.3064318001270294, 'Recall': 0.5342857241630554, 'Precision': 0.214819073677063, 'AUC': 0.5986402034759521}
{'Accuracy': 0.6045238375663757, 'F1_Score': 0.31786447763442993, 'Recall': 0.5528571605682373, 'Precision': 0.22305475175380707, 'AUC': 0.6101022362709045}
{'Accuracy': 0.6230952143669128, 'F1_Score': 0.31501513719558716, 'Recall': 0.5199999809265137, 'Precision': 0.22594662010669708, 'AUC': 0.6094575524330139}
{'Accuracy': 0.5733333230018616, 'F1_Score': 0.30326592922210693, 'Recall': 0.5571428537368774, 'Precision': 0.2083333283662796, 'AUC': 0.6002073287963867}
{'Accuracy': 0.5919047594070435, 'F1_Score': 0.3071948289871216, 'Recall': 0.5428571701049805, 'Precision': 0.21420519053936005, 'AUC': 0.6044281721115112}
{'Accuracy': 0.5654761791229248, 'F1_Score': 0.30049827694892883, 'Recall': 0.5600000023841858, 'Precision': 0.2053431123495102, 'AUC': 0.5984426736831665}
{'Accuracy': 0.6438094973564148, 'F1_Score': 0.3002806305885315, 'Recall': 0.4585714340209961, 'Precision': 0.22322671115398407, 'AUC': 0.609201192855835}
{'Accuracy': 0.6230952143669128, 'F1_Score': 0.2980044484138489, 'Recall': 0.47999998927116394, 'Precision': 0.21607716381549835, 'AUC': 0.6008347272872925}
{'Accuracy': 0.5547618865966797, 'F1_Score': 0.2980480492115021, 'Recall': 0.5671428442001343, 'Precision': 0.2021384984254837, 'AUC': 0.5930289626121521}
{'Accuracy': 0.5709523558616638, 'F1_Score': 0.3127383589744568, 'Recall': 0.5857142806053162, 'Precision': 0.21331946551799774, 'AUC': 0.6069210171699524}
{'Accuracy': 0.6192857027053833, 'F1_Score': 0.3044801950454712, 'Recall': 0.5, 'Precision': 0.21888680756092072, 'AUC': 0.6062122583389282}
{'Accuracy': 0.6247618794441223, 'F1_Score': 0.2976827025413513, 'Recall': 0.477142870426178, 'Precision': 0.21632124483585358, 'AUC': 0.5959367752075195}
{'Accuracy': 0.6202380657196045, 'F1_Score': 0.30318915843963623, 'Recall': 0.4957142770290375, 'Precision': 0.21837633848190308, 'AUC': 0.6017430424690247}
{'Accuracy': 0.6269047856330872, 'F1_Score': 0.29318898916244507, 'Recall': 0.4642857015132904, 'Precision': 0.21423862874507904, 'AUC': 0.5991553068161011}
{'Accuracy': 0.6280952095985413, 'F1_Score': 0.2906448543071747, 'Recall': 0.4571428596973419, 'Precision': 0.2130492627620697, 'AUC': 0.5926822423934937}
{'Accuracy': 0.6471428275108337, 'F1_Score': 0.2956273853778839, 'Recall': 0.44428572058677673, 'Precision': 0.22150997817516327, 'AUC': 0.601353645324707}
{'Accuracy': 0.648809552192688, 'F1_Score': 0.301940381526947, 'Recall': 0.45571428537368774, 'Precision': 0.2257607877254486, 'AUC': 0.6078834533691406}
{'Accuracy': 0.6735714077949524, 'F1_Score': 0.30157920718193054, 'Recall': 0.4228571355342865, 'Precision': 0.2343626320362091, 'AUC': 0.6068422794342041}
{'Accuracy': 0.5059523582458496, 'F1_Score': 0.30532306432724, 'Recall': 0.6514285802841187, 'Precision': 0.19938784837722778, 'AUC': 0.592359185218811}
{'Accuracy': 0.5909523963928223, 'F1_Score': 0.30725806951522827, 'Recall': 0.5442857146263123, 'Precision': 0.2140449434518814, 'AUC': 0.5979657173156738}
{'Accuracy': 0.5859524011611938, 'F1_Score': 0.3085487186908722, 'Recall': 0.5542857050895691, 'Precision': 0.21377409994602203, 'AUC': 0.5995277762413025}
{'Accuracy': 0.5849999785423279, 'F1_Score': 0.3167385458946228, 'Recall': 0.5771428346633911, 'Precision': 0.21826039254665375, 'AUC': 0.608978807926178}
{'Accuracy': 0.5852380990982056, 'F1_Score': 0.3109177350997925, 'Recall': 0.5614285469055176, 'Precision': 0.2149890661239624, 'AUC': 0.6012183427810669}
{'Accuracy': 0.5671428442001343, 'F1_Score': 0.3045141398906708, 'Recall': 0.5685714483261108, 'Precision': 0.20794148743152618, 'AUC': 0.5958654880523682}
{'Accuracy': 0.6316666603088379, 'F1_Score': 0.30346691608428955, 'Recall': 0.4814285635948181, 'Precision': 0.22156475484371185, 'AUC': 0.5913424491882324}
{'Accuracy': 0.6202380657196045, 'F1_Score': 0.2982842028141022, 'Recall': 0.48428571224212646, 'Precision': 0.215511754155159, 'AUC': 0.5934252738952637}
{'Accuracy': 0.5811904668807983, 'F1_Score': 0.30501776933670044, 'Recall': 0.5514285564422607, 'Precision': 0.2108137607574463, 'AUC': 0.6003632545471191}
{'Accuracy': 0.6190476417541504, 'F1_Score': 0.2982456088066101, 'Recall': 0.48571428656578064, 'Precision': 0.2151898741722107, 'AUC': 0.5939685702323914}
{'Accuracy': 0.5854762196540833, 'F1_Score': 0.31158560514450073, 'Recall': 0.5628571510314941, 'Precision': 0.2154182642698288, 'AUC': 0.6099646687507629}
{'Accuracy': 0.5899999737739563, 'F1_Score': 0.3078778088092804, 'Recall': 0.5471428632736206, 'Precision': 0.2142058163881302, 'AUC': 0.5962041020393372}
{'Accuracy': 0.595714271068573, 'F1_Score': 0.3080684542655945, 'Recall': 0.5400000214576721, 'Precision': 0.2155074179172516, 'AUC': 0.6030163168907166}
{'Accuracy': 0.6054762005805969, 'F1_Score': 0.3138716220855713, 'Recall': 0.5414285659790039, 'Precision': 0.22099125385284424, 'AUC': 0.6015746593475342}
{'Accuracy': 0.5854762196540833, 'F1_Score': 0.3083035349845886, 'Recall': 0.5542857050895691, 'Precision': 0.21353879570960999, 'AUC': 0.5982747077941895}
{'Accuracy': 0.601190447807312, 'F1_Score': 0.31154951453208923, 'Recall': 0.5414285659790039, 'Precision': 0.21869590878486633, 'AUC': 0.6065228581428528}
{'Accuracy': 0.5938095450401306, 'F1_Score': 0.3181454837322235, 'Recall': 0.5685714483261108, 'Precision': 0.22086571156978607, 'AUC': 0.6081005930900574}
{'Accuracy': 0.5873809456825256, 'F1_Score': 0.31905698776245117, 'Recall': 0.5799999833106995, 'Precision': 0.22005419433116913, 'AUC': 0.6140196323394775}
{'Accuracy': 0.6323809623718262, 'F1_Score': 0.31499555706977844, 'Recall': 0.5071428418159485, 'Precision': 0.2284427285194397, 'AUC': 0.6137673854827881}
{'Accuracy': 0.6390476226806641, 'F1_Score': 0.3102820813655853, 'Recall': 0.4871428608894348, 'Precision': 0.22763684391975403, 'AUC': 0.6079050898551941}
{'Accuracy': 0.6745238304138184, 'F1_Score': 0.2854155898094177, 'Recall': 0.38999998569488525, 'Precision': 0.22506183385849, 'AUC': 0.6069839000701904}
{'Accuracy': 0.6645237803459167, 'F1_Score': 0.30556923151016235, 'Recall': 0.44285714626312256, 'Precision': 0.23325808346271515, 'AUC': 0.6055120229721069}
{'Accuracy': 0.6116666793823242, 'F1_Score': 0.31899791955947876, 'Recall': 0.545714259147644, 'Precision': 0.22536873817443848, 'AUC': 0.6090954542160034}
{'Accuracy': 0.545714259147644, 'F1_Score': 0.31168830394744873, 'Recall': 0.6171428561210632, 'Precision': 0.20849420130252838, 'AUC': 0.6065791845321655}
{'Accuracy': 0.5492857098579407, 'F1_Score': 0.30429989099502563, 'Recall': 0.5914285778999329, 'Precision': 0.20484907925128937, 'AUC': 0.5996338725090027}
{'Accuracy': 0.6435714364051819, 'F1_Score': 0.3186163008213043, 'Recall': 0.5, 'Precision': 0.23380093276500702, 'AUC': 0.6097401976585388}
{'Accuracy': 0.6259523630142212, 'F1_Score': 0.3118703365325928, 'Recall': 0.508571445941925, 'Precision': 0.22488945722579956, 'AUC': 0.6061497926712036}
{'Accuracy': 0.5952380895614624, 'F1_Score': 0.31672024726867676, 'Recall': 0.5628571510314941, 'Precision': 0.22035793960094452, 'AUC': 0.6041803956031799}
{'Accuracy': 0.6480952501296997, 'F1_Score': 0.3144712448120117, 'Recall': 0.48428571224212646, 'Precision': 0.23282967507839203, 'AUC': 0.614549994468689}
{'Accuracy': 0.5721428394317627, 'F1_Score': 0.3143838346004486, 'Recall': 0.5885714292526245, 'Precision': 0.21447162330150604, 'AUC': 0.5961326360702515}
{'Accuracy': 0.6319047808647156, 'F1_Score': 0.3177404999732971, 'Recall': 0.5142857432365417, 'Precision': 0.2298850566148758, 'AUC': 0.6097877025604248}
{'Accuracy': 0.6380952596664429, 'F1_Score': 0.30466604232788086, 'Recall': 0.4757142961025238, 'Precision': 0.2240915149450302, 'AUC': 0.6010996103286743}
{'Accuracy': 0.5990476012229919, 'F1_Score': 0.3231511116027832, 'Recall': 0.5742856860160828, 'Precision': 0.224832221865654, 'AUC': 0.6162408590316772}
{'Accuracy': 0.5980952382087708, 'F1_Score': 0.31158238649368286, 'Recall': 0.545714259147644, 'Precision': 0.21803653240203857, 'AUC': 0.6022122502326965}
{'Accuracy': 0.6192857027053833, 'F1_Score': 0.31284916400909424, 'Recall': 0.5199999809265137, 'Precision': 0.22372464835643768, 'AUC': 0.6012518405914307}
{'Accuracy': 0.5926190614700317, 'F1_Score': 0.32664304971694946, 'Recall': 0.5928571224212646, 'Precision': 0.2254209667444229, 'AUC': 0.6175460815429688}
{'Accuracy': 0.6252381205558777, 'F1_Score': 0.3126637637615204, 'Recall': 0.5114285945892334, 'Precision': 0.225157231092453, 'AUC': 0.6099097728729248}
{'Accuracy': 0.6709523797035217, 'F1_Score': 0.3124378025531769, 'Recall': 0.44857141375541687, 'Precision': 0.23969465494155884, 'AUC': 0.6136281490325928}
{'Accuracy': 0.6297619342803955, 'F1_Score': 0.31285902857780457, 'Recall': 0.5057142972946167, 'Precision': 0.22648751735687256, 'AUC': 0.601421594619751}
{'Accuracy': 0.6035714149475098, 'F1_Score': 0.31112951040267944, 'Recall': 0.5371428728103638, 'Precision': 0.2189866006374359, 'AUC': 0.6073849201202393}
{'Accuracy': 0.5883333086967468, 'F1_Score': 0.3195592164993286, 'Recall': 0.5799999833106995, 'Precision': 0.22053231298923492, 'AUC': 0.6146283745765686}
{'Accuracy': 0.5752381086349487, 'F1_Score': 0.3117283880710602, 'Recall': 0.5771428346633911, 'Precision': 0.21353065967559814, 'AUC': 0.5961797833442688}
{'Accuracy': 0.6054762005805969, 'F1_Score': 0.31044527888298035, 'Recall': 0.5328571200370789, 'Precision': 0.21902525424957275, 'AUC': 0.6052007675170898}
{'Accuracy': 0.5557143092155457, 'F1_Score': 0.30888888239860535, 'Recall': 0.595714271068573, 'Precision': 0.2084999978542328, 'AUC': 0.60321044921875}
{'Accuracy': 0.6069047451019287, 'F1_Score': 0.29534783959388733, 'Recall': 0.4942857027053833, 'Precision': 0.21059037744998932, 'AUC': 0.593044102191925}
{'Accuracy': 0.6192857027053833, 'F1_Score': 0.319863885641098, 'Recall': 0.5371428728103638, 'Precision': 0.22774076461791992, 'AUC': 0.6149698495864868}
{'Accuracy': 0.541190505027771, 'F1_Score': 0.3144788444042206, 'Recall': 0.631428599357605, 'Precision': 0.2093794345855713, 'AUC': 0.6029149293899536}
{'Accuracy': 0.657619059085846, 'F1_Score': 0.3026188313961029, 'Recall': 0.4457142949104309, 'Precision': 0.2290748953819275, 'AUC': 0.6076252460479736}
{'Accuracy': 0.647857129573822, 'F1_Score': 0.30530765652656555, 'Recall': 0.4642857015132904, 'Precision': 0.2274317741394043, 'AUC': 0.6013579368591309}
{'Accuracy': 0.5811904668807983, 'F1_Score': 0.30992546677589417, 'Recall': 0.5642856955528259, 'Precision': 0.21362899243831635, 'AUC': 0.6011648774147034}
{'Accuracy': 0.5552380681037903, 'F1_Score': 0.3192419707775116, 'Recall': 0.6257143020629883, 'Precision': 0.2142857164144516, 'AUC': 0.6166212558746338}
{'Accuracy': 0.6147618889808655, 'F1_Score': 0.31031543016433716, 'Recall': 0.5199999809265137, 'Precision': 0.22114215791225433, 'AUC': 0.6012295484542847}
{'Accuracy': 0.6290476322174072, 'F1_Score': 0.3124448359012604, 'Recall': 0.5057142972946167, 'Precision': 0.2260536402463913, 'AUC': 0.6078416109085083}
