
{'Accuracy': 0.5799999833106995, 'F1_Score': 0.2656119763851166, 'Recall': 0.45571428537368774, 'Precision': 0.18742655217647552, 'AUC': 0.5320632457733154}
{'Accuracy': 0.5590476393699646, 'F1_Score': 0.2702915668487549, 'Recall': 0.49000000953674316, 'Precision': 0.18661588430404663, 'AUC': 0.5384036302566528}
{'Accuracy': 0.6328571438789368, 'F1_Score': 0.2579403221607208, 'Recall': 0.38285714387893677, 'Precision': 0.19448475539684296, 'AUC': 0.5431501865386963}
{'Accuracy': 0.5683333277702332, 'F1_Score': 0.26924628019332886, 'Recall': 0.477142870426178, 'Precision': 0.1875350922346115, 'AUC': 0.5369818210601807}
{'Accuracy': 0.5861904621124268, 'F1_Score': 0.2703610360622406, 'Recall': 0.46000000834465027, 'Precision': 0.19143876433372498, 'AUC': 0.5412099957466125}
{'Accuracy': 0.5797619223594666, 'F1_Score': 0.27276474237442017, 'Recall': 0.47285714745521545, 'Precision': 0.19166183471679688, 'AUC': 0.5406852960586548}
{'Accuracy': 0.607619047164917, 'F1_Score': 0.2720848023891449, 'Recall': 0.4399999976158142, 'Precision': 0.19693094491958618, 'AUC': 0.548664927482605}
{'Accuracy': 0.558571457862854, 'F1_Score': 0.26017558574676514, 'Recall': 0.4657142758369446, 'Precision': 0.18050941824913025, 'AUC': 0.5335273742675781}
{'Accuracy': 0.5678571462631226, 'F1_Score': 0.25584256649017334, 'Recall': 0.4457142949104309, 'Precision': 0.17941345274448395, 'AUC': 0.5339555144309998}
{'Accuracy': 0.5950000286102295, 'F1_Score': 0.2594688832759857, 'Recall': 0.42571428418159485, 'Precision': 0.18659988045692444, 'AUC': 0.5323126316070557}
{'Accuracy': 0.6207143068313599, 'F1_Score': 0.2635228931903839, 'Recall': 0.40714284777641296, 'Precision': 0.19480518996715546, 'AUC': 0.5378652811050415}
{'Accuracy': 0.6038095355033875, 'F1_Score': 0.2714535892009735, 'Recall': 0.44285714626312256, 'Precision': 0.1957070678472519, 'AUC': 0.5383373498916626}
{'Accuracy': 0.5757142901420593, 'F1_Score': 0.2767857015132904, 'Recall': 0.4871428608894348, 'Precision': 0.1933106631040573, 'AUC': 0.5453424453735352}
{'Accuracy': 0.6323809623718262, 'F1_Score': 0.3228070139884949, 'Recall': 0.5257142782211304, 'Precision': 0.2329113930463791, 'AUC': 0.6289249062538147}
{'Accuracy': 0.5799999833106995, 'F1_Score': 0.32825589179992676, 'Recall': 0.6157143115997314, 'Precision': 0.2237798571586609, 'AUC': 0.6268147230148315}
{'Accuracy': 0.5854762196540833, 'F1_Score': 0.3088527321815491, 'Recall': 0.5557143092155457, 'Precision': 0.21385376155376434, 'AUC': 0.6141830682754517}
{'Accuracy': 0.6142857074737549, 'F1_Score': 0.3283582031726837, 'Recall': 0.5657142996788025, 'Precision': 0.23130841553211212, 'AUC': 0.6219534873962402}
{'Accuracy': 0.6200000047683716, 'F1_Score': 0.32997480034828186, 'Recall': 0.5614285469055176, 'Precision': 0.23365041613578796, 'AUC': 0.6192389726638794}
