
{'Accuracy': 0.6109523773193359, 'F1_Score': 0.3341483175754547, 'Recall': 0.5857142806053162, 'Precision': 0.23375143110752106, 'AUC': 0.6332808136940002}
{'Accuracy': 0.602142870426178, 'F1_Score': 0.3253936171531677, 'Recall': 0.5757142901420593, 'Precision': 0.22678671777248383, 'AUC': 0.6321373581886292}
{'Accuracy': 0.6171428561210632, 'F1_Score': 0.32888147234916687, 'Recall': 0.5628571510314941, 'Precision': 0.23231132328510284, 'AUC': 0.6308550834655762}
{'Accuracy': 0.5997619032859802, 'F1_Score': 0.329477459192276, 'Recall': 0.5899999737739563, 'Precision': 0.2285556197166443, 'AUC': 0.6334424018859863}
{'Accuracy': 0.6064285635948181, 'F1_Score': 0.32170701026916504, 'Recall': 0.5600000023841858, 'Precision': 0.22567644715309143, 'AUC': 0.6292567253112793}
{'Accuracy': 0.6114285588264465, 'F1_Score': 0.334963321685791, 'Recall': 0.5871428847312927, 'Precision': 0.23432154953479767, 'AUC': 0.6323657035827637}
{'Accuracy': 0.6107142567634583, 'F1_Score': 0.3229813575744629, 'Recall': 0.5571428537368774, 'Precision': 0.22740525007247925, 'AUC': 0.6366783380508423}
{'Accuracy': 0.6066666841506958, 'F1_Score': 0.3300892114639282, 'Recall': 0.581428587436676, 'Precision': 0.23046432435512543, 'AUC': 0.6366840600967407}
{'Accuracy': 0.6104761958122253, 'F1_Score': 0.3289581537246704, 'Recall': 0.572857141494751, 'Precision': 0.2307249754667282, 'AUC': 0.6340004205703735}
{'Accuracy': 0.5933333039283752, 'F1_Score': 0.32702916860580444, 'Recall': 0.5928571224212646, 'Precision': 0.2257889062166214, 'AUC': 0.6318489909172058}
{'Accuracy': 0.6045238375663757, 'F1_Score': 0.3288888931274414, 'Recall': 0.581428587436676, 'Precision': 0.2292957752943039, 'AUC': 0.633338212966919}
{'Accuracy': 0.6128571629524231, 'F1_Score': 0.3330598771572113, 'Recall': 0.5799999833106995, 'Precision': 0.23360183835029602, 'AUC': 0.6356693506240845}
{'Accuracy': 0.5978571176528931, 'F1_Score': 0.3235883116722107, 'Recall': 0.5771428346633911, 'Precision': 0.2248191386461258, 'AUC': 0.6318812370300293}
{'Accuracy': 0.569523811340332, 'F1_Score': 0.36293163895606995, 'Recall': 0.7357142567634583, 'Precision': 0.24087932705879211, 'AUC': 0.6919252872467041}
{'Accuracy': 0.5826190710067749, 'F1_Score': 0.3650851249694824, 'Recall': 0.7200000286102295, 'Precision': 0.2445414811372757, 'AUC': 0.6916506290435791}
{'Accuracy': 0.583809494972229, 'F1_Score': 0.37077033519744873, 'Recall': 0.7357142567634583, 'Precision': 0.2478344589471817, 'AUC': 0.6995550990104675}
{'Accuracy': 0.5930952429771423, 'F1_Score': 0.36867380142211914, 'Recall': 0.7128571271896362, 'Precision': 0.24862979352474213, 'AUC': 0.689644455909729}
{'Accuracy': 0.5888095498085022, 'F1_Score': 0.36437246203422546, 'Recall': 0.7071428298950195, 'Precision': 0.24541397392749786, 'AUC': 0.6938291788101196}
{'Accuracy': 0.584761917591095, 'F1_Score': 0.3671988248825073, 'Recall': 0.7228571176528931, 'Precision': 0.24610894918441772, 'AUC': 0.686881422996521}
{'Accuracy': 0.590238094329834, 'F1_Score': 0.37304189801216125, 'Recall': 0.7314285635948181, 'Precision': 0.250366747379303, 'AUC': 0.6917890310287476}
{'Accuracy': 0.5835714340209961, 'F1_Score': 0.36790749430656433, 'Recall': 0.727142870426178, 'Precision': 0.24625059962272644, 'AUC': 0.689831018447876}
{'Accuracy': 0.5859524011611938, 'F1_Score': 0.36648452281951904, 'Recall': 0.7185714244842529, 'Precision': 0.24596576392650604, 'AUC': 0.6899551153182983}
{'Accuracy': 0.584761917591095, 'F1_Score': 0.36857348680496216, 'Recall': 0.727142870426178, 'Precision': 0.2468477189540863, 'AUC': 0.6937001943588257}
{'Accuracy': 0.5845237970352173, 'F1_Score': 0.3633710443973541, 'Recall': 0.7114285826683044, 'Precision': 0.24399803578853607, 'AUC': 0.6846581697463989}
{'Accuracy': 0.5821428298950195, 'F1_Score': 0.3675675690174103, 'Recall': 0.7285714149475098, 'Precision': 0.24578313529491425, 'AUC': 0.6968481540679932}
{'Accuracy': 0.5952380895614624, 'F1_Score': 0.36614465713500977, 'Recall': 0.7014285922050476, 'Precision': 0.2477295696735382, 'AUC': 0.6894591450691223}
{'Accuracy': 0.5826190710067749, 'F1_Score': 0.3660036027431488, 'Recall': 0.7228571176528931, 'Precision': 0.245036318898201, 'AUC': 0.691169023513794}
{'Accuracy': 0.5764285922050476, 'F1_Score': 0.3612208366394043, 'Recall': 0.7185714244842529, 'Precision': 0.2412469983100891, 'AUC': 0.6877416372299194}
{'Accuracy': 0.5916666388511658, 'F1_Score': 0.37110376358032227, 'Recall': 0.7228571176528931, 'Precision': 0.24962998926639557, 'AUC': 0.6919795870780945}
{'Accuracy': 0.5826190710067749, 'F1_Score': 0.3673763871192932, 'Recall': 0.727142870426178, 'Precision': 0.2457749843597412, 'AUC': 0.6894318461418152}
{'Accuracy': 0.5795238018035889, 'F1_Score': 0.3661162853240967, 'Recall': 0.7285714149475098, 'Precision': 0.24448706209659576, 'AUC': 0.6921391487121582}
{'Accuracy': 0.5830952525138855, 'F1_Score': 0.3616478443145752, 'Recall': 0.7085714340209961, 'Precision': 0.24278022348880768, 'AUC': 0.6871030926704407}
{'Accuracy': 0.5819047689437866, 'F1_Score': 0.3600583076477051, 'Recall': 0.7057142853736877, 'Precision': 0.2416829764842987, 'AUC': 0.6836543083190918}
{'Accuracy': 0.5735714435577393, 'F1_Score': 0.36376553773880005, 'Recall': 0.7314285635948181, 'Precision': 0.24208037555217743, 'AUC': 0.6881575584411621}
{'Accuracy': 0.5828571319580078, 'F1_Score': 0.36705201864242554, 'Recall': 0.7257142663002014, 'Precision': 0.24564796686172485, 'AUC': 0.6880877614021301}
{'Accuracy': 0.5761904716491699, 'F1_Score': 0.3629205524921417, 'Recall': 0.7242857217788696, 'Precision': 0.24212034046649933, 'AUC': 0.6890183687210083}
{'Accuracy': 0.5807142853736877, 'F1_Score': 0.3685908913612366, 'Recall': 0.7342857122421265, 'Precision': 0.24605074524879456, 'AUC': 0.6955134868621826}
{'Accuracy': 0.592380940914154, 'F1_Score': 0.3687315583229065, 'Recall': 0.7142857313156128, 'Precision': 0.24850894510746002, 'AUC': 0.6886473894119263}
{'Accuracy': 0.583809494972229, 'F1_Score': 0.36895307898521423, 'Recall': 0.7300000190734863, 'Precision': 0.24685990810394287, 'AUC': 0.6938979625701904}
{'Accuracy': 0.590238094329834, 'F1_Score': 0.3665807843208313, 'Recall': 0.7114285826683044, 'Precision': 0.24690133333206177, 'AUC': 0.6903712749481201}
{'Accuracy': 0.5766666531562805, 'F1_Score': 0.3608914315700531, 'Recall': 0.7171428799629211, 'Precision': 0.2411143183708191, 'AUC': 0.6859028339385986}
{'Accuracy': 0.5816666483879089, 'F1_Score': 0.36317506432533264, 'Recall': 0.7157142758369446, 'Precision': 0.2433219999074936, 'AUC': 0.6883465647697449}
{'Accuracy': 0.5757142901420593, 'F1_Score': 0.3589928150177002, 'Recall': 0.7128571271896362, 'Precision': 0.23990385234355927, 'AUC': 0.6863248944282532}
{'Accuracy': 0.574999988079071, 'F1_Score': 0.3604442775249481, 'Recall': 0.7185714244842529, 'Precision': 0.24055476486682892, 'AUC': 0.6854032874107361}
{'Accuracy': 0.5976190567016602, 'F1_Score': 0.37361007928848267, 'Recall': 0.7200000286102295, 'Precision': 0.2522522509098053, 'AUC': 0.693093478679657}
{'Accuracy': 0.5669047832489014, 'F1_Score': 0.3588297367095947, 'Recall': 0.727142870426178, 'Precision': 0.2381843775510788, 'AUC': 0.6904383897781372}
{'Accuracy': 0.5945237874984741, 'F1_Score': 0.3652627766132355, 'Recall': 0.699999988079071, 'Precision': 0.2471003532409668, 'AUC': 0.6844061613082886}
{'Accuracy': 0.5852380990982056, 'F1_Score': 0.3674654960632324, 'Recall': 0.7228571176528931, 'Precision': 0.24634858965873718, 'AUC': 0.6901918053627014}
{'Accuracy': 0.5959523916244507, 'F1_Score': 0.3665546774864197, 'Recall': 0.7014285922050476, 'Precision': 0.24810510873794556, 'AUC': 0.689312219619751}
{'Accuracy': 0.5754761695861816, 'F1_Score': 0.3661571145057678, 'Recall': 0.7357142567634583, 'Precision': 0.24372929334640503, 'AUC': 0.6911094188690186}
{'Accuracy': 0.5773809552192688, 'F1_Score': 0.3635711669921875, 'Recall': 0.7242857217788696, 'Precision': 0.24269986152648926, 'AUC': 0.6830508708953857}
{'Accuracy': 0.5785714387893677, 'F1_Score': 0.3687589168548584, 'Recall': 0.7385714054107666, 'Precision': 0.2457224279642105, 'AUC': 0.6946403980255127}
{'Accuracy': 0.5899999737739563, 'F1_Score': 0.3673769235610962, 'Recall': 0.7142857313156128, 'Precision': 0.24727992713451385, 'AUC': 0.6904538869857788}
{'Accuracy': 0.5866666436195374, 'F1_Score': 0.3650329113006592, 'Recall': 0.7128571271896362, 'Precision': 0.24532939493656158, 'AUC': 0.6897918581962585}
{'Accuracy': 0.5876190662384033, 'F1_Score': 0.3632352948188782, 'Recall': 0.7057142853736877, 'Precision': 0.24455446004867554, 'AUC': 0.6842808127403259}
{'Accuracy': 0.5828571319580078, 'F1_Score': 0.363834410905838, 'Recall': 0.7157142758369446, 'Precision': 0.24391430616378784, 'AUC': 0.6900061368942261}
{'Accuracy': 0.5780952572822571, 'F1_Score': 0.36075034737586975, 'Recall': 0.7142857313156128, 'Precision': 0.24131274223327637, 'AUC': 0.6859604120254517}
{'Accuracy': 0.5788094997406006, 'F1_Score': 0.3688904643058777, 'Recall': 0.7385714054107666, 'Precision': 0.24583928287029266, 'AUC': 0.6967677474021912}
{'Accuracy': 0.5709523558616638, 'F1_Score': 0.3609929084777832, 'Recall': 0.727142870426178, 'Precision': 0.24009433388710022, 'AUC': 0.6900722980499268}
{'Accuracy': 0.5864285826683044, 'F1_Score': 0.35974934697151184, 'Recall': 0.6971428394317627, 'Precision': 0.24242424964904785, 'AUC': 0.6875547170639038}
{'Accuracy': 0.5885714292526245, 'F1_Score': 0.3642384111881256, 'Recall': 0.7071428298950195, 'Precision': 0.24529236555099487, 'AUC': 0.6860526204109192}
{'Accuracy': 0.579285740852356, 'F1_Score': 0.36370185017585754, 'Recall': 0.7214285731315613, 'Precision': 0.2431391477584839, 'AUC': 0.6875894069671631}
{'Accuracy': 0.5921428799629211, 'F1_Score': 0.36766335368156433, 'Recall': 0.7114285826683044, 'Precision': 0.24788452684879303, 'AUC': 0.690453052520752}
