
{'Accuracy': 0.5719047784805298, 'F1_Score': 0.3063271641731262, 'Recall': 0.5671428442001343, 'Precision': 0.2098308652639389, 'AUC': 0.605120837688446}
{'Accuracy': 0.5592857003211975, 'F1_Score': 0.30229929089546204, 'Recall': 0.572857141494751, 'Precision': 0.2053251415491104, 'AUC': 0.6016877889633179}
{'Accuracy': 0.5571428537368774, 'F1_Score': 0.3044128715991974, 'Recall': 0.581428587436676, 'Precision': 0.20618034899234772, 'AUC': 0.6011571884155273}
{'Accuracy': 0.560952365398407, 'F1_Score': 0.3083270788192749, 'Recall': 0.5871428847312927, 'Precision': 0.2090539187192917, 'AUC': 0.6056852340698242}
{'Accuracy': 0.5697619318962097, 'F1_Score': 0.30580100417137146, 'Recall': 0.5685714483261108, 'Precision': 0.20914345979690552, 'AUC': 0.5996630191802979}
{'Accuracy': 0.5611904859542847, 'F1_Score': 0.3000379800796509, 'Recall': 0.5642856955528259, 'Precision': 0.20434558391571045, 'AUC': 0.5955814123153687}
{'Accuracy': 0.5559523701667786, 'F1_Score': 0.3033246099948883, 'Recall': 0.5799999833106995, 'Precision': 0.20536166429519653, 'AUC': 0.6005289554595947}
{'Accuracy': 0.5540476441383362, 'F1_Score': 0.30242085456848145, 'Recall': 0.5799999833106995, 'Precision': 0.20453400909900665, 'AUC': 0.6019816398620605}
{'Accuracy': 0.5592857003211975, 'F1_Score': 0.3059617578983307, 'Recall': 0.5828571319580078, 'Precision': 0.20742246508598328, 'AUC': 0.6045746803283691}
{'Accuracy': 0.5626190304756165, 'F1_Score': 0.30072325468063354, 'Recall': 0.5642856955528259, 'Precision': 0.20498183369636536, 'AUC': 0.5991959571838379}
{'Accuracy': 0.5533333420753479, 'F1_Score': 0.304670125246048, 'Recall': 0.5871428847312927, 'Precision': 0.2057057023048401, 'AUC': 0.60398268699646}
{'Accuracy': 0.5611904859542847, 'F1_Score': 0.29950588941574097, 'Recall': 0.5628571510314941, 'Precision': 0.20403936505317688, 'AUC': 0.6026085615158081}
{'Accuracy': 0.5733333230018616, 'F1_Score': 0.3075734078884125, 'Recall': 0.5685714483261108, 'Precision': 0.21080508828163147, 'AUC': 0.6004873514175415}
{'Accuracy': 0.5164285898208618, 'F1_Score': 0.29060426354408264, 'Recall': 0.5942857265472412, 'Precision': 0.19232547283172607, 'AUC': 0.5852830410003662}
{'Accuracy': 0.5083333253860474, 'F1_Score': 0.2949812114238739, 'Recall': 0.6171428561210632, 'Precision': 0.1938088834285736, 'AUC': 0.5833983421325684}
{'Accuracy': 0.505476176738739, 'F1_Score': 0.2889421284198761, 'Recall': 0.6028571724891663, 'Precision': 0.19000449776649475, 'AUC': 0.577255129814148}
{'Accuracy': 0.5259523987770081, 'F1_Score': 0.2881658971309662, 'Recall': 0.5757142901420593, 'Precision': 0.19217930734157562, 'AUC': 0.5806636214256287}
{'Accuracy': 0.5147619247436523, 'F1_Score': 0.2928521931171417, 'Recall': 0.6028571724891663, 'Precision': 0.1934005469083786, 'AUC': 0.5783777236938477}
{'Accuracy': 0.5049999952316284, 'F1_Score': 0.2940577268600464, 'Recall': 0.618571400642395, 'Precision': 0.1928730458021164, 'AUC': 0.5860502123832703}
{'Accuracy': 0.5128571391105652, 'F1_Score': 0.29204151034355164, 'Recall': 0.6028571724891663, 'Precision': 0.1926940679550171, 'AUC': 0.5848702192306519}
{'Accuracy': 0.4985714256763458, 'F1_Score': 0.290909081697464, 'Recall': 0.6171428561210632, 'Precision': 0.1903083771467209, 'AUC': 0.5864912271499634}
{'Accuracy': 0.5216666460037231, 'F1_Score': 0.2928546369075775, 'Recall': 0.5942857265472412, 'Precision': 0.19430172443389893, 'AUC': 0.5847036838531494}
{'Accuracy': 0.5164285898208618, 'F1_Score': 0.29356521368026733, 'Recall': 0.6028571724891663, 'Precision': 0.1940229833126068, 'AUC': 0.5882261395454407}
{'Accuracy': 0.5076190233230591, 'F1_Score': 0.2849239408969879, 'Recall': 0.5885714292526245, 'Precision': 0.18795619904994965, 'AUC': 0.579849362373352}
